                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7469,                  0.125,                 0.8125,                 1.7983,              4.998e-05,              4.998e-05,              4.998e-05
                      2,                 1.5719,                 0.1875,                 0.8125,                 1.7879,             0.00010604,             0.00010604,             0.00010604
                      3,                  1.512,                 0.3125,                 0.8125,                 1.7853,             0.00016097,             0.00016097,             0.00016097
                      4,                 1.2413,                   0.25,                      1,                 1.7876,             0.00021477,             0.00021477,             0.00021477
                      5,                 1.4495,                 0.3125,                      1,                 1.7905,             0.00026743,             0.00026743,             0.00026743
                      6,                 1.0962,                 0.3125,                      1,                 1.7962,             0.00031897,             0.00031897,             0.00031897
                      7,                 1.0335,                   0.25,                      1,                 1.8003,             0.00036937,             0.00036937,             0.00036937
                      8,                0.97437,                   0.25,                      1,                 1.8045,             0.00041865,             0.00041865,             0.00041865
                      9,                0.90508,                 0.1875,                      1,                 1.8191,             0.00046679,             0.00046679,             0.00046679
                     10,                0.86613,                 0.0625,                      1,                 1.8306,              0.0005138,              0.0005138,              0.0005138
                     11,                0.79478,                 0.1875,                      1,                 1.8132,             0.00055968,             0.00055968,             0.00055968
                     12,                0.78113,                   0.25,                      1,                 1.7906,             0.00060443,             0.00060443,             0.00060443
                     13,                 1.0855,                 0.3125,                      1,                 1.7764,             0.00062918,             0.00062918,             0.00062918
                     14,                0.58177,                 0.3125,                      1,                  1.775,             0.00062211,             0.00062211,             0.00062211
                     15,                0.75729,                 0.3125,                      1,                 1.7926,             0.00061504,             0.00061504,             0.00061504
                     16,                0.52001,                  0.125,                      1,                 1.8215,             0.00060797,             0.00060797,             0.00060797
                     17,                0.73525,                  0.125,                      1,                 1.8379,              0.0006009,              0.0006009,              0.0006009
                     18,                0.48712,                  0.125,                      1,                 1.8688,             0.00059383,             0.00059383,             0.00059383
                     19,                0.48466,                  0.125,                      1,                 1.8444,             0.00058677,             0.00058677,             0.00058677
                     20,                0.34291,                 0.0625,                      1,                 1.8537,              0.0005797,              0.0005797,              0.0005797
                     21,                0.58843,                  0.125,                      1,                 1.8295,             0.00057263,             0.00057263,             0.00057263
                     22,                 0.3142,                 0.1875,                      1,                 1.8047,             0.00056556,             0.00056556,             0.00056556
                     23,                0.52801,                 0.3125,                      1,                 1.7961,             0.00055849,             0.00055849,             0.00055849
                     24,                 0.2891,                 0.1875,                      1,                 1.8086,             0.00055142,             0.00055142,             0.00055142
                     25,                0.30404,                 0.1875,                      1,                 1.8103,             0.00054435,             0.00054435,             0.00054435
                     26,                0.25669,                   0.25,                      1,                  1.778,             0.00053728,             0.00053728,             0.00053728
                     27,                0.21622,                   0.25,                      1,                 1.7781,             0.00053022,             0.00053022,             0.00053022
                     28,                0.23458,                   0.25,                      1,                 1.7779,             0.00052315,             0.00052315,             0.00052315
                     29,                0.17157,                   0.25,                      1,                 1.7973,             0.00051608,             0.00051608,             0.00051608
                     30,                0.16193,                   0.25,                      1,                  1.804,             0.00050901,             0.00050901,             0.00050901
                     31,                0.31312,                   0.25,                      1,                 1.8049,             0.00050194,             0.00050194,             0.00050194
                     32,                0.28699,                   0.25,                      1,                 1.8084,             0.00049487,             0.00049487,             0.00049487
                     33,                 0.1245,                 0.1875,                      1,                 1.8535,              0.0004878,              0.0004878,              0.0004878
                     34,                 0.3869,                 0.1875,                      1,                 1.8785,             0.00048074,             0.00048074,             0.00048074
                     35,                0.20523,                 0.1875,                      1,                 1.8671,             0.00047367,             0.00047367,             0.00047367
                     36,                0.11635,                 0.1875,                      1,                 1.8887,              0.0004666,              0.0004666,              0.0004666
                     37,                0.14448,                 0.1875,                      1,                 1.8841,             0.00045953,             0.00045953,             0.00045953
                     38,                0.25749,                   0.25,                      1,                 1.8457,             0.00045246,             0.00045246,             0.00045246
                     39,                0.14462,                   0.25,                      1,                 1.8397,             0.00044539,             0.00044539,             0.00044539
                     40,                0.23503,                   0.25,                      1,                 1.8263,             0.00043832,             0.00043832,             0.00043832
                     41,                 0.1254,                 0.1875,                      1,                 1.8124,             0.00043126,             0.00043126,             0.00043126
                     42,                0.08732,                   0.25,                      1,                 1.7932,             0.00042419,             0.00042419,             0.00042419
                     43,                0.66759,                   0.25,                      1,                 1.7823,             0.00041712,             0.00041712,             0.00041712
                     44,                0.48984,                   0.25,                      1,                 1.7756,             0.00041005,             0.00041005,             0.00041005
                     45,                0.08016,                   0.25,                      1,                 1.7829,             0.00040298,             0.00040298,             0.00040298
                     46,                0.13138,                  0.375,                      1,                 1.7772,             0.00039591,             0.00039591,             0.00039591
                     47,                0.11704,                 0.3125,                      1,                 1.7979,             0.00038884,             0.00038884,             0.00038884
                     48,                0.53064,                  0.375,                      1,                  1.781,             0.00038178,             0.00038178,             0.00038178
                     49,                 0.1012,                   0.25,                      1,                 1.8248,             0.00037471,             0.00037471,             0.00037471
                     50,                0.40115,                  0.125,                      1,                 1.8492,             0.00036764,             0.00036764,             0.00036764
                     51,                0.10271,                  0.125,                      1,                 1.8817,             0.00036057,             0.00036057,             0.00036057
                     52,                0.06145,                  0.125,                      1,                 1.8762,              0.0003535,              0.0003535,              0.0003535
                     53,                0.10324,                 0.1875,                      1,                 1.8526,             0.00034643,             0.00034643,             0.00034643
                     54,                0.22649,                  0.125,                      1,                 1.8673,             0.00033936,             0.00033936,             0.00033936
                     55,                0.49773,                  0.125,                      1,                 1.8885,              0.0003323,              0.0003323,              0.0003323
                     56,                 0.0894,                  0.125,                      1,                   1.89,             0.00032523,             0.00032523,             0.00032523
                     57,                0.08488,                 0.1875,                      1,                   1.87,             0.00031816,             0.00031816,             0.00031816
                     58,                0.24024,                  0.125,                      1,                 1.8722,             0.00031109,             0.00031109,             0.00031109
                     59,                0.10711,                  0.125,                      1,                 1.8985,             0.00030402,             0.00030402,             0.00030402
                     60,                0.05893,                 0.0625,                      1,                 1.8795,             0.00029695,             0.00029695,             0.00029695
                     61,                0.18764,                 0.0625,                      1,                 1.8696,             0.00028988,             0.00028988,             0.00028988
                     62,                0.09168,                  0.125,                      1,                 1.8799,             0.00028282,             0.00028282,             0.00028282
                     63,                0.19683,                 0.0625,                      1,                 1.8775,             0.00027575,             0.00027575,             0.00027575
                     64,                 0.0464,                  0.125,                      1,                 1.8874,             0.00026868,             0.00026868,             0.00026868
                     65,                0.33775,                 0.0625,                      1,                 1.8992,             0.00026161,             0.00026161,             0.00026161
                     66,                0.18811,                  0.125,                      1,                 1.8996,             0.00025454,             0.00025454,             0.00025454
                     67,                0.16103,                  0.125,                      1,                 1.8961,             0.00024747,             0.00024747,             0.00024747
                     68,                 0.0637,                  0.125,                      1,                 1.8968,              0.0002404,              0.0002404,              0.0002404
                     69,                 0.0777,                  0.125,                      1,                 1.8819,             0.00023334,             0.00023334,             0.00023334
                     70,                0.07333,                  0.125,                      1,                 1.9014,             0.00022627,             0.00022627,             0.00022627
                     71,                0.06349,                  0.125,                      1,                 1.8707,              0.0002192,              0.0002192,              0.0002192
                     72,                0.14941,                 0.1875,                      1,                 1.8697,             0.00021213,             0.00021213,             0.00021213
                     73,                 0.0645,                  0.125,                      1,                 1.8712,             0.00020506,             0.00020506,             0.00020506
                     74,                0.57592,                 0.3125,                      1,                 1.8138,             0.00019799,             0.00019799,             0.00019799
                     75,                0.14854,                 0.3125,                      1,                 1.7987,             0.00019092,             0.00019092,             0.00019092
                     76,                 0.1928,                 0.3125,                      1,                 1.8134,             0.00018385,             0.00018385,             0.00018385
                     77,                0.12601,                 0.3125,                      1,                   1.83,             0.00017679,             0.00017679,             0.00017679
                     78,                0.14492,                 0.3125,                      1,                 1.7939,             0.00016972,             0.00016972,             0.00016972
                     79,                0.06682,                   0.25,                      1,                 1.8302,             0.00016265,             0.00016265,             0.00016265
                     80,                0.60734,                 0.3125,                      1,                 1.8393,             0.00015558,             0.00015558,             0.00015558
                     81,                0.49321,                  0.125,                      1,                 1.8674,             0.00014851,             0.00014851,             0.00014851
                     82,                0.21268,                 0.1875,                      1,                 1.8337,             0.00014144,             0.00014144,             0.00014144
                     83,                0.12357,                 0.1875,                      1,                 1.8315,             0.00013437,             0.00013437,             0.00013437
                     84,                0.13193,                   0.25,                      1,                 1.8358,             0.00012731,             0.00012731,             0.00012731
                     85,                0.08087,                 0.1875,                      1,                 1.8431,             0.00012024,             0.00012024,             0.00012024
                     86,                0.21231,                   0.25,                      1,                 1.8262,             0.00011317,             0.00011317,             0.00011317
                     87,                0.11889,                   0.25,                      1,                  1.849,              0.0001061,              0.0001061,              0.0001061
                     88,                0.09781,                  0.125,                      1,                 1.8466,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.41449,                 0.1875,                      1,                 1.8727,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.08507,                 0.1875,                      1,                 1.8836,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.05214,                 0.1875,                      1,                 1.8768,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.15192,                 0.1875,                      1,                 1.8283,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.42441,                 0.1875,                      1,                  1.869,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.08077,                 0.1875,                      1,                 1.8559,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.36921,                 0.1875,                      1,                 1.8489,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.14663,                 0.1875,                      1,                 1.8282,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.37654,                 0.1875,                      1,                 1.8581,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.43268,                 0.1875,                      1,                 1.8485,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.08907,                 0.1875,                      1,                 1.8351,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.05066,                 0.1875,                      1,                  1.834,             1.4209e-05,             1.4209e-05,             1.4209e-05
